Ontology;Value;Term
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/isSampleOf;isSampleOf
http://www.w3.org/ns/ssn;http://www.w3.org/2002/07/owl#Thing;Thing
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/inDeployment;inDeployment
http://www.w3.org/ns/ssn;http://www.w3.org/2000/01/rdf-schema#Literal;Literal
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Actuation;Actuation
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/hasOutput;hasOutput
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/isResultOf;isResultOf
http://www.w3.org/ns/ssn;http://purl.org/vocommons/voaf#Vocabulary;Vocabulary
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/phenomenonTime;phenomenonTime
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Sample;Sample
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/Input;Input
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Sampler;Sampler
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/madeBySensor;madeBySensor
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/hasInput;hasInput
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/ActuatableProperty;ActuatableProperty
http://www.w3.org/ns/ssn;http://purl.org/dc/terms/created;created
http://www.w3.org/ns/ssn;http://xmlns.com/foaf/0.1/name;name
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/isProxyFor;isProxyFor
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/observes;observes
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/isHostedBy;isHostedBy
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/usedProcedure;usedProcedure
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/wasOriginatedBy;wasOriginatedBy
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/observedProperty;observedProperty
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/forProperty;forProperty
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/Property;Property
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Result;Result
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/isObservedBy;isObservedBy
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/deployedOnPlatform;deployedOnPlatform
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/madeSampling;madeSampling
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/hasFeatureOfInterest;hasFeatureOfInterest
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/madeObservation;madeObservation
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Procedure;Procedure
http://www.w3.org/ns/ssn;http://purl.org/vocab/vann/preferredNamespaceUri;preferredNamespaceUri
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/implementedBy;implementedBy
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Actuator;Actuator
http://www.w3.org/ns/ssn;http://www.w3.org/2000/01/rdf-schema#label;label
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/hosts;hosts
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/Stimulus;Stimulus
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Observation;Observation
http://www.w3.org/ns/ssn;http://www.w3.org/2000/01/rdf-schema#isDefinedBy;isDefinedBy
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/resultTime;resultTime
http://www.w3.org/ns/ssn;http://purl.org/dc/terms/rights;rights
http://www.w3.org/ns/ssn;http://www.w3.org/2000/01/rdf-schema#seeAlso;seeAlso
http://www.w3.org/ns/ssn;http://www.w3.org/2002/07/owl#versionInfo;versionInfo
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/Output;Output
http://www.w3.org/ns/ssn;http://www.w3.org/2000/01/rdf-schema#comment;comment
http://www.w3.org/ns/ssn;http://www.w3.org/2004/02/skos/core#example;example
http://www.w3.org/ns/ssn;http://purl.org/dc/terms/title;title
http://www.w3.org/ns/ssn;http://www.w3.org/2004/02/skos/core#definition;definition
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/madeByActuator;madeByActuator
http://www.w3.org/ns/ssn;http://purl.org/dc/terms/creator;creator
http://www.w3.org/ns/ssn;http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral;PlainLiteral
http://www.w3.org/ns/ssn;http://xmlns.com/foaf/0.1/Agent;Agent
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/hasSample;hasSample
http://www.w3.org/ns/ssn;http://purl.org/dc/terms/license;license
http://www.w3.org/ns/ssn;http://purl.org/dc/terms/description;description
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/;
http://www.w3.org/ns/ssn;http://purl.org/vocab/vann/preferredNamespacePrefix;preferredNamespacePrefix
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Platform;Platform
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/Sensor;Sensor
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/detects;detects
http://www.w3.org/ns/ssn;http://www.w3.org/ns/ssn/isPropertyOf;isPropertyOf
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/hasResult;hasResult
http://www.w3.org/ns/ssn;http://www.w3.org/ns/sosa/isActedOnBy;isActedOnBy
